hostname,interface,description
CABN5695CICU001,Bundle-Ether1001, 
CABN5695CICU001,Bundle-Ether1002, 
CABN5695CICU001,Bundle-Ether1003, 
CABN5695CICU001,Bundle-Ether10008, 
CABN5695CICU001,Bundle-Ether10006, 
CABN5695CICU001,Bundle-Ether10002, 
CABN5695CICU001,Bundle-Ether10011, 
CABN5695CICU001,Bundle-Ether1001, 
CABN5695CICU001,Bundle-Ether1002, 
CABN5695CICU001,Bundle-Ether1003, 
CABN5695CICU001,Bundle-Ether10008, 
CABN5695CICU001,Bundle-Ether10006, 
CABN5695CICU001,Bundle-Ether10002, 
CABN5695CICU001,Bundle-Ether10011, 
CABN5695CICU001,Bundle-Ether10003, 
CABN5695CICU001,Bundle-Ether10003, 
CABN5695CICU001,Bundle-Ether251, 
CABN5695CICU001,Bundle-Ether252, 
BATS0002CICU001,Bundle-Ether1001, 
BATS0002CICU001,Bundle-Ether1001, 
BATS0002CICU001,Bundle-Ether1003, 
BATS0002CICU001,Bundle-Ether1002, 
BATS0002CICU001,Bundle-Ether1002, 
BATS0002CICU001,Bundle-Ether1003, 
BATS0002CICU001,Bundle-Ether10003, 
BATS0002CICU001,Bundle-Ether10004, 
BATS0002CICU001,Bundle-Ether5001, 
BATS0002CICU001,Bundle-Ether5003, 
BATS0002CICU001,Bundle-Ether10002, 
BATS0002CICU001,Bundle-Ether10003, 
BATS0002CICU001,Bundle-Ether10004, 
BATS0002CICU001,Bundle-Ether5002, 
BATS0002CICU001,Bundle-Ether10002, 
BATS0002CICU001,Bundle-Ether251, 
BATS0002CICU001,Bundle-Ether252, 
BGO00V61CICN002,Bundle-Ether101, 
BGO00V61CICN002,Bundle-Ether10, 
BGO00V61CICN002,Bundle-Ether102, 
PRQG0049CIBE001,Bundle-Ether33, 
PRQG0049CIBE001,Bundle-Ether36, 
PRQG0049CIBE001,Bundle-Ether10, 
PRQG0049CIBE001,Bundle-Ether251, 
PRQG0049CIBE001,Bundle-Ether34, 
PRQG0049CIBE001,Bundle-Ether37, 
PRQG0049CIBE001,Bundle-Ether31, 
PRQG0049CIBE001,Bundle-Ether35, 
PRQG0049CIBE001,Bundle-Ether32, 
CKLN8004CIBE001,Bundle-Ether252, 
CKLN8004CIBE001,Bundle-Ether38, 
CKLN8004CIBE001,Bundle-Ether20006, 
CKLN8004CIBE001,Bundle-Ether40, 
CKLN8004CIBE001,Bundle-Ether60000, 
CKLN8004CIBE001,Bundle-Ether60002, 
CKLN8004CIBE001,Bundle-Ether60001, 
CKLN8004CIBE001,Bundle-Ether60001, 
CKLN8004CIBE001,Bundle-Ether20011, 
CKLN8004CIBE001,Bundle-Ether20011, 
CKLN8004CIBE001,Bundle-Ether60000, 
CKLN8004CIBE001,Bundle-Ether20001, 
CKLN8004CIBE001,Bundle-Ether20001, 
CKLN8004CIBE001,Bundle-Ether20001, 
CKLN8004CIBE001,Bundle-Ether252, 
CKLN8004CIBE001,Bundle-Ether20001, 
CKLN8004CIBE001,Bundle-Ether31, 
CKLN8004CIBE001,Bundle-Ether10, 
CKLN8004CIBE001,Bundle-Ether251, 
CKLN8004CIBE001,Bundle-Ether34, 
CKLN8004CIBE001,Bundle-Ether20000, 
CKLN8004CIBE001,Bundle-Ether20000, 
CKLN8004CIBE001,Bundle-Ether32, 
CKLN8004CIBE001,Bundle-Ether700, 
VGN00C15CIBE001,Bundle-Ether60002, 
VGN00C15CIBE001,Bundle-Ether60002, 
VGN00C15CIBE001,Bundle-Ether31, 
VGN00C15CIBE001,Bundle-Ether10, 
VGN00C15CIBE001,Bundle-Ether700, 
VGN00C15CIBE001,Bundle-Ether32, 
TAG00H21CIBE001,Bundle-Ether10, 
TAG00H21CIBE001,Bundle-Ether31, 
TAG00H21CIBE001,Bundle-Ether32, 
BCR00S33CICN002,Bundle-Ether101, 
BCR00S33CICN002,Bundle-Ether10, 
